"#filename","previous_sentence","following_sentence","comment_if_any","pause_content","pause_length_ms","postP23visual","postP23quality","postP23audio"
"cropped_2006-06-07_026-91_027-84.mp4","","Liebe Mitbürgerinnen und Mitbürger, jetzt geht es los.","beginning of the recording, no prior speech","a","93","Merkel","Perfectly clear","Merkel"
"cropped_2006-06-07_040-71_041-67.mp4","Millionen haben auf diesen Augenblick gewartet - nicht nur in Deutschland, sondern in der ganzen Welt.","Vor dem Eröffnungsspiel gegen Costa Rica bin ich noch einmal mit Jürgen Klinsmann und unserer Nationalmannschaft zusammengetroffen.","","m","96","Merkel","Perfectly clear","Merkel"
"cropped_2006-06-07_098-04_099-36.mp4","Das zeigt: Deutschland ist ein weltoffenes, ein modernes und ein lebendiges Land.","Heute wende ich mich zum ersten Mal auf einem ganz neuen Weg an Sie: mit einem Video-Podcast.","","m","132","Merkel","Perfectly clear","Merkel"
"cropped_2006-06-07_135-03_135-84.mp4","Mir ist wichtig zu erfahren, was Sie beispielsweise über die Reformen denken, die die Bundesregierung anpackt.","Jetzt freue ich mich erst einmal auf den Anpfiff der Fußballweltmeisterschaft und wünsche uns allen, dass die Weltmeisterschaft in unserem Land für uns alle und für unsere vielen Gäste ein schönes, unvergessliches Erlebnis wird!","","m","81","Merkel","Perfectly clear","Merkel"
"cropped_2006-06-16_026-88_027-57.mp4","","Liebe Mitbürgerinnen und Mitbürger!","beginning of the recording, no prior speech","a","69","Merkel","Perfectly clear","Merkel"
"cropped_2006-06-16_049-41_050-34.mp4","Ihre Meinung zählt - darauf können Sie sich verlassen.","Heute geht es mir um ein wichtiges Projekt, das wir am Mittwoch im Bundeskabinett beschlossen haben: das Elterngeld.","","m","93","Merkel","Perfectly clear","Merkel"
"cropped_2006-06-16_066-45_066-96.mp4","Ab Januar 2007 sollen es alle Mütter oder Väter bekommen, die ihre Kinder im ersten Lebensjahr selbst betreuen und erziehen.","Wer diese Aufgabe übernimmt, hat Anspruch auf 67 Prozent des durchschnittlichen Nettogehalts, das er in den zwölf Monaten davor verdient hat - höchstens 1.800 Euro.","","m","51","Merkel","Perfectly clear","Merkel"
"cropped_2006-06-16_079-29_079-89.mp4","Wer diese Aufgabe übernimmt, hat Anspruch auf 67 Prozent des durchschnittlichen Nettogehalts, das er in den zwölf Monaten davor verdient hat - höchstens 1.800 Euro.","Aber auch wer nicht erwerbstätig war, bekommt 300 Euro Elterngeld im Monat.","","m","60","Merkel","Perfectly clear","Merkel"
"cropped_2006-06-16_106-77_107-46.mp4","Wichtig ist auch: Wenn sich Mutter und Vater die Betreuung ihres Kindes teilen und der Partner mindestens zwei Monate zu Hause bleibt, erhalten sie 14 statt 12 Monate Elterngeld.","Wir beschreiten damit sehr bewusst einen ganz neuen Weg.","","m","69","Merkel","Perfectly clear","Merkel"
"cropped_2006-06-16_129-99_130-59.mp4","Und mehr noch: Es ist eine Anerkennung ihrer wichtigen persönlichen Erziehungsleistung.","Und die beiden ""Partnermonate"", wie wir sie nennen, sollen ein Zeichen setzen: Es ist eben nicht nur die Aufgabe eines Elternteils, sich um das Neugeborene zu kümmern, sondern beide stehen in der Verantwortung.","","m","60","Merkel","Perfectly clear","Merkel"
